GENESIS-Tabelle: 21711-0011
Ausgaben für öffentliche Schulen je Schüler: Bundesländer,;;;;;;;;
Jahre;;;;;;;;
Bildungsberichterstattung für nationale Zwecke;;;;;;;;
Ausgaben für öffentliche Schulen je Schüler (EUR);;;;;;;;
;2014;2015;2016;2017;2018;2019;2020;2021
Baden-Württemberg;6700;6800;7100;7300;7600;8200;8500;8800
Bayern;7700;7800;8100;8400;8800;9500;10000;10500
Berlin;8500;8900;9200;9700;10500;11300;12300;13300
Brandenburg;6700;6800;7000;7300;7800;8400;8800;9000
Bremen;6500;6800;6700;6900;7300;8100;9400;9600
Hamburg;8500;8600;9000;9600;9800;10600;11500;11700
Hessen;7000;7000;7000;7200;7600;8200;8500;9000
Mecklenburg-Vorpommern;6900;6900;6900;6800;7100;7600;7900;8200
Niedersachsen;6500;6700;6800;7000;7300;7800;8400;8700
Nordrhein-Westfalen;5900;6000;6200;6400;6800;7300;7700;8300
Rheinland-Pfalz;6300;6300;6600;6900;7200;7700;8200;8500
Saarland;6300;6500;6700;6900;7400;7900;8300;8400
Sachsen;7000;7000;7100;7400;7700;8100;8400;8700
Sachsen-Anhalt;7600;7400;7300;7400;7500;7900;8300;8600
Schleswig-Holstein;5800;6200;6300;6700;7100;7600;8200;8600
Thüringen;8300;8300;8400;8600;8700;8800;9100;9500
Insgesamt;6800;6900;7100;7300;7700;8300;8700;9200
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 06.06.2023 / 22:07:49
