GENESIS-Tabelle: 33111-0004
Bodenfläche (tatsächliche Nutzung): Bundesländer, Stichtag;;;;;;;;;;;;;;;;;;
(bis 31.12.2015), Nutzungsarten;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;
Bodenfläche (qkm);;;;;;;;;;;;;;;;;;
;;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten
;;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche;Betriebsfläche;Erholungsfläche;Erholungsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Flächen anderer Nutzung;Flächen anderer Nutzung;Flächen anderer Nutzung
;;Insgesamt;Gebäude- und Freifläche Wohnen;Gebäude- und Freifläche Gewerbe und Industrie;Insgesamt;Betriebsfläche Abbauland;Insgesamt;Grünanlage;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;Insgesamt;Insgesamt;Insgesamt;Friedhof;Unland
31.12.2013;Baden-Württemberg;2758,750;1473,660;466,960;111,670;67,290;311,460;160,630;1970,050;1828,770;16275,950;20,070;12,880;13699,210;390,370;233,850;36,070;191,310
31.12.2013;Bayern;4277,051;2091,240;452,007;351,575;156,269;505,115;204,253;3293,642;3072,944;33150,510;131,731;19,175;25697,988;1233,896;2040,372;40,972;1999,399
31.12.2013;Berlin;369,810;212,790;34,700;5,360;0,050;107,290;97,720;132,930;107,270;38,820;0,470;0,040;163,230;59,610;14,640;10,910;2,700
31.12.2013;Brandenburg;1304,900;619,310;319,510;425,660;338,730;267,230;184,830;1099,820;937,390;14619,230;1,120;123,210;10530,610;1022,480;384,220;23,460;358,130
31.12.2013;Bremen;139,203;64,761;25,190;9,608;0,066;33,966;28,495;49,159;37,224;118,513;0,298;0,699;8,206;51,816;8,915;3,467;2,206
31.12.2013;Hamburg;285,408;162,466;41,780;6,713;0,302;59,206;54,956;94,403;72,952;185,593;0,261;6,585;48,068;60,780;15,047;8,072;6,717
31.12.2013;Hessen;1563,740;910,087;162,612;115,687;43,253;207,405;120,458;1429,024;1318,126;8867,118;0,715;1,061;8479,543;293,788;158,625;29,339;85,010
31.12.2013;Mecklenburg-Vorpommern;823,151;340,442;122,700;82,787;46,214;314,026;278,007;689,322;578,314;14475,039;27,428;16,106;5073,575;1412,623;340,529;12,971;255,134
31.12.2013;Niedersachsen;3533,057;1989,769;428,303;335,933;245,121;460,272;283,503;2460,629;2048,775;28551,586;552,165;174,088;10473,808;1108,653;690,136;43,009;640,200
31.12.2013;Nordrhein-Westfalen;4364,334;2284,551;542,951;393,663;186,597;672,419;459,183;2435,881;2008,052;16606,328;15,214;53,735;8798,419;671,366;167,856;81,481;63,530
