GENESIS-Tabelle: 82111-0001
VGR der Länder (Entstehungsrechnung) - Bruttoinlandsprodukt;;;;;;;;;
zu Marktpreisen (nominal): Bundesländer, Jahre;;;;;;;;;
VGR der Länder: Entstehungsrechnung;;;;;;;;;
Bruttoinlandsprodukt zu Marktpreisen i.jew.Preisen (Mill. EUR);;;;;;;;;
;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr
;2014;2015;2016;2017;2018;2019;2020;2021;2022
Baden-Württemberg;442683;463346;474916;497299;516670;525347;509322;538948;572837
Bayern;534066;554688;577717;605752;620277;643982;630530;666388;716784
Berlin;118519;124914;133210;141322;149391;157131;156762;165457;179379
Brandenburg;63742;65348;67453;70644;72708;76024;75757;80562;88800
Bremen;29798;30494;31360;32389;32929;33177;32166;35151;38698
Hamburg;103431;108166;110541;116589;118961;124855;119941;130873;144220
Hessen;253765;260263;271155;280094;286128;295779;288127;303310;323352
Mecklenburg-Vorpommern;39407;40070;41089;44183;44332;47571;46942;49871;53440
Niedersachsen;259058;261399;280611;287902;297590;310744;303696;315720;339414
Nordrhein-Westfalen;617470;637270;653375;678970;703065;717359;707186;742818;793790
Rheinland-Pfalz;127528;132924;136301;140117;143060;146985;144558;162169;171699
Saarland;33254;34039;34264;35347;35871;35855;34628;36112;38505
Sachsen;109328;113588;117237;121844;125180;130348;128679;134984;146511
Sachsen-Anhalt;56318;57396;58991;60909;62039;64692;64198;68253;75436
Schleswig-Holstein;82868;84799;87512;92620;95008;99607;99696;104709;112755
Thüringen;56197;57476;59008;61180;62240;63803;63241;66424;71430
Deutschland;2927430;3026180;3134740;3267160;3365450;3473260;3405430;3601750;3867050
__________
"Quelle:
Arbeitskreis ""Volkswirtschaftliche Gesamtrechnungen der
Länder"".

Berechnungsstand: August 2022 / Februar 2023"
© Statistisches Bundesamt (Destatis), 2023
Stand: 06.06.2023 / 22:22:35
