GENESIS-Tabelle: 12411-0010
Bevölkerung: Bundesländer, Stichtag;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021
Baden-Württemberg;10569111;10631278;10716644;10879618;10951893;11023425;11069533;11100394;11103043;11124642
Bayern;12519571;12604244;12691568;12843514;12930751;12997204;13076721;13124737;13140183;13176989
Berlin;3375222;3421829;3469849;3520031;3574830;3613495;3644826;3669491;3664088;3677472
Brandenburg;2449511;2449193;2457872;2484826;2494648;2504040;2511917;2521893;2531071;2537868
Bremen;654774;657391;661888;671489;678753;681032;682986;681202;680130;676463
Hamburg;1734272;1746342;1762791;1787408;1810438;1830584;1841179;1847253;1852478;1853935
Hessen;6016481;6045425;6093888;6176172;6213088;6243262;6265809;6288080;6293154;6295017
Mecklenburg-Vorpommern;1600327;1596505;1599138;1612362;1610674;1611119;1609675;1608138;1610774;1611160
Niedersachsen;7778995;7790559;7826739;7926599;7945685;7962775;7982448;7993608;8003421;8027031
Nordrhein-Westfalen;17554329;17571856;17638098;17865516;17890100;17912134;17932651;17947221;17925570;17924591
Rheinland-Pfalz;3990278;3994366;4011582;4052803;4066053;4073679;4084844;4093903;4098391;4106485
Saarland;994287;990718;989035;995597;996651;994187;990509;986887;983991;982348
Sachsen;4050204;4046385;4055274;4084851;4081783;4081308;4077937;4071971;4056941;4043002
Sachsen-Anhalt;2259393;2244577;2235548;2245470;2236252;2223081;2208321;2194782;2180684;2169253
Schleswig-Holstein;2806531;2815955;2830864;2858714;2881926;2889821;2896712;2903773;2910875;2922005
Thüringen;2170460;2160840;2156759;2170714;2158128;2151205;2143145;2133378;2120237;2108863
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2022
Stand: 08.06.2023 / 15:41:42
