1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5334002;Aachen;voll.;3,952;2,304;1,648;19;8;11;150;76;74;169;84;85;227;108;119;306;177;129;2,970;1,748;1,222;280;187;93;3,250;1,935;1,315
------;Straftaten insgesamt;5334002;Aachen;vers.;345;203;142;2;1;1;13;7;6;15;8;7;13;4;9;19;12;7;249;156;93;49;23;26;298;179;119
------;Straftaten insgesamt;5334002;Aachen;insg.;4,297;2,507;1,790;21;9;12;163;83;80;184;92;92;240;112;128;325;189;136;3,219;1,904;1,315;329;210;119;3,548;2,114;1,434
------;Straftaten insgesamt;9761000;Augsburg;voll.;4,142;2,565;1,577;48;26;22;215;130;85;263;156;107;288;169;119;286;160;126;3,066;1,968;1,098;239;112;127;3,305;2,080;1,225
------;Straftaten insgesamt;9761000;Augsburg;vers.;477;336;141;1;0;1;14;6;8;15;6;9;25;13;12;38;28;10;376;278;98;23;11;12;399;289;110
------;Straftaten insgesamt;9761000;Augsburg;insg.;4,619;2,901;1,718;49;26;23;229;136;93;278;162;116;313;182;131;324;188;136;3,442;2,246;1,196;262;123;139;3,704;2,369;1,335
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,454;788;666;13;6;7;66;38;28;79;44;35;93;59;34;103;53;50;1,023;529;494;156;103;53;1,179;632;547
------;Straftaten insgesamt;5378004;Bergisch Gladbach;vers.;135;84;51;2;1;1;4;3;1;6;4;2;12;7;5;6;3;3;97;61;36;14;9;5;111;70;41
------;Straftaten insgesamt;5378004;Bergisch Gladbach;insg.;1,589;872;717;15;7;8;70;41;29;85;48;37;105;66;39;109;56;53;1,120;590;530;170;112;58;1,290;702;588
------;Straftaten insgesamt;11000000;Berlin;voll.;76,125;46,939;29,186;791;427;364;4,297;2,446;1,851;5,088;2,873;2,215;4,937;2,806;2,131;4,340;2,470;1,870;56,976;36,053;20,923;4,784;2,737;2,047;61,760;38,790;22,970
------;Straftaten insgesamt;11000000;Berlin;vers.;6,831;4,645;2,186;81;39;42;311;190;121;392;229;163;430;278;152;393;266;127;5,104;3,550;1,554;512;322;190;5,616;3,872;1,744
------;Straftaten insgesamt;11000000;Berlin;insg.;82,956;51,584;31,372;872;466;406;4,608;2,636;1,972;5,480;3,102;2,378;5,367;3,084;2,283;4,733;2,736;1,997;62,080;39,603;22,477;5,296;3,059;2,237;67,376;42,662;24,714
------;Straftaten insgesamt;5711000;Bielefeld;voll.;3,814;2,045;1,769;32;11;21;172;98;74;204;109;95;290;121;169;299;156;143;2,753;1,512;1,241;268;147;121;3,021;1,659;1,362
------;Straftaten insgesamt;5711000;Bielefeld;vers.;304;187;117;2;1;1;21;17;4;23;18;5;21;13;8;24;13;11;217;133;84;19;10;9;236;143;93
------;Straftaten insgesamt;5711000;Bielefeld;insg.;4,118;2,232;1,886;34;12;22;193;115;78;227;127;100;311;134;177;323;169;154;2,970;1,645;1,325;287;157;130;3,257;1,802;1,455
------;Straftaten insgesamt;5911000;Bochum;voll.;5,283;2,995;2,288;37;19;18;305;148;157;342;167;175;362;193;169;357;209;148;3,905;2,255;1,650;317;171;146;4,222;2,426;1,796
------;Straftaten insgesamt;5911000;Bochum;vers.;434;275;159;7;4;3;26;15;11;33;19;14;14;7;7;22;13;9;323;202;121;42;34;8;365;236;129
------;Straftaten insgesamt;5911000;Bochum;insg.;5,717;3,270;2,447;44;23;21;331;163;168;375;186;189;376;200;176;379;222;157;4,228;2,457;1,771;359;205;154;4,587;2,662;1,925
------;Straftaten insgesamt;5314000;Bonn;voll.;5,107;2,998;2,109;52;35;17;243;134;109;295;169;126;356;196;160;378;215;163;3,728;2,212;1,516;350;206;144;4,078;2,418;1,660
------;Straftaten insgesamt;5314000;Bonn;vers.;589;389;200;2;1;1;23;19;4;25;20;5;26;12;14;28;17;11;461;306;155;49;34;15;510;340;170
------;Straftaten insgesamt;5314000;Bonn;insg.;5,696;3,387;2,309;54;36;18;266;153;113;320;189;131;382;208;174;406;232;174;4,189;2,518;1,671;399;240;159;4,588;2,758;1,830
------;Straftaten insgesamt;5512000;Bottrop;voll.;1,275;657;618;11;7;4;97;40;57;108;47;61;114;71;43;88;39;49;884;449;435;81;51;30;965;500;465
------;Straftaten insgesamt;5512000;Bottrop;vers.;58;29;29;1;0;1;0;0;0;1;0;1;3;1;2;3;0;3;45;27;18;6;1;5;51;28;23
------;Straftaten insgesamt;5512000;Bottrop;insg.;1,333;686;647;12;7;5;97;40;57;109;47;62;117;72;45;91;39;52;929;476;453;87;52;35;1,016;528;488
------;Straftaten insgesamt;3101000;Braunschweig;voll.;3,476;2,023;1,453;45;19;26;178;91;87;223;110;113;268;130;138;315;163;152;2,465;1,481;984;205;139;66;2,670;1,620;1,050
