GENESIS-Tabelle: 13111-0005
Sozialversicherungspflichtig Beschäftigte am Arbeitsort:;;;;;;;;;;
Bundesländer, Stichtag, Geschlecht;;;;;;;;;;
Statistik d. sozialversicherungspfl. Beschäftigten;;;;;;;;;;
Sozialvers.pflichtig Beschäftigte am Arbeitsort (Anzahl);;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.03.2014;31.03.2015;31.03.2016;31.03.2017;31.03.2018;31.03.2019;31.03.2020;31.03.2021;31.03.2022
Baden-Württemberg;männlich;2323893;2369825;2423542;2485272;2549398;2600148;2612716;2600788;2645423
Baden-Württemberg;weiblich;1911208;1960662;2005004;2049990;2096150;2134615;2158894;2159323;2203257
Baden-Württemberg;Insgesamt;4235101;4330487;4428546;4535262;4645548;4734763;4771610;4760111;4848680
Bayern;männlich;2717355;2766920;2840341;2924069;3002639;3073585;3097631;3088528;3149082
Bayern;weiblich;2295259;2359837;2421486;2481965;2541273;2594318;2627026;2627837;2683202
Bayern;Insgesamt;5012614;5126757;5261827;5406034;5543912;5667903;5724657;5716365;5832284
Berlin;männlich;611696;634125;664317;700634;730909;762937;788964;791716;834365
Berlin;weiblich;645837;664180;686873;708858;732750;753550;770786;776333;805545
Berlin;Insgesamt;1257533;1298305;1351190;1409492;1463659;1516487;1559750;1568049;1639910
Brandenburg;männlich;401734;406688;415138;424217;434220;439962;442536;446722;456435
Brandenburg;weiblich;381153;386732;392718;400196;404782;408762;412163;412244;418642
Brandenburg;Insgesamt;782887;793420;807856;824413;839002;848724;854699;858966;875077
Bremen;männlich;171105;172809;177682;181152;184437;187058;187796;186555;189599
Bremen;weiblich;134591;137442;140081;142485;145097;147110;149015;148966;151463
Bremen;Insgesamt;305696;310251;317763;323637;329534;334168;336811;335521;341062
Hamburg;männlich;474207;483608;495946;505644;517675;531830;543431;538944;553003
Hamburg;weiblich;414841;424139;433740;442979;451659;462629;470329;468684;478643
Hamburg;Insgesamt;889048;907747;929686;948623;969334;994459;1013760;1007628;1031646
Hessen;männlich;1278452;1301379;1330730;1366281;1404075;1435151;1449337;1442956;1470450
Hessen;weiblich;1067765;1092850;1117645;1143649;1169203;1192148;1207304;1205135;1230773
Hessen;Insgesamt;2346217;2394229;2448375;2509930;2573278;2627299;2656641;2648091;2701223
Mecklenburg-Vorpommern;männlich;256669;260620;265118;270526;276775;281173;283796;282501;287028
Mecklenburg-Vorpommern;weiblich;276263;279757;282586;284075;287434;288302;289611;287935;290980
Mecklenburg-Vorpommern;Insgesamt;532932;540377;547704;554601;564209;569475;573407;570436;578008
Niedersachsen;männlich;1474097;1498348;1526506;1557410;1593268;1623095;1641079;1641395;1671490
Niedersachsen;weiblich;1227925;1263929;1295211;1324879;1352139;1376964;1401101;1402637;1432099
Niedersachsen;Insgesamt;2702022;2762277;2821717;2882289;2945407;3000059;3042180;3044032;3103589
Nordrhein-Westfalen;männlich;3450768;3498836;3565172;3642591;3733848;3811491;3850268;3844280;3928941
Nordrhein-Westfalen;weiblich;2815871;2890536;2960430;3026117;3090634;3151099;3204407;3222212;3302709
Nordrhein-Westfalen;Insgesamt;6266639;6389372;6525602;6668708;6824482;6962590;7054675;7066492;7231650
Rheinland-Pfalz;männlich;702926;710615;720057;733821;749874;765019;768093;770802;785307
Rheinland-Pfalz;weiblich;607493;621751;633755;645515;656402;665854;673356;674360;688676
Rheinland-Pfalz;Insgesamt;1310419;1332366;1353812;1379336;1406276;1430873;1441449;1445162;1473983
Saarland;männlich;205975;206384;206708;208419;211064;212930;210529;208075;210485
Saarland;weiblich;165251;169028;171754;174702;177108;179036;180646;179463;181905
Saarland;Insgesamt;371226;375412;378462;383121;388172;391966;391175;387538;392390
Sachsen;männlich;756369;766057;781879;798609;815967;828999;835618;837427;851052
Sachsen;weiblich;737396;748220;759122;768148;779810;782620;784688;781519;787365
Sachsen;Insgesamt;1493765;1514277;1541001;1566757;1595777;1611619;1620306;1618946;1638417
Sachsen-Anhalt;männlich;383132;383581;389444;396397;402264;405330;405713;407121;410434
Sachsen-Anhalt;weiblich;381646;385779;387915;390286;392095;391535;391807;390633;391479
Sachsen-Anhalt;Insgesamt;764778;769360;777359;786683;794359;796865;797520;797754;801913
Schleswig-Holstein;männlich;462151;469142;483184;496786;508292;518954;525691;529141;541430
Schleswig-Holstein;weiblich;423987;434494;446562;457060;467329;474942;482905;486781;498492
Schleswig-Holstein;Insgesamt;886138;903636;929746;953846;975621;993896;1008596;1015922;1039922
Thüringen;männlich;396469;397184;402068;407663;411743;414841;413453;411546;417535
Thüringen;weiblich;377418;381541;385255;388349;388518;388583;386153;382144;385199
Thüringen;Insgesamt;773887;778725;787323;796012;800261;803424;799606;793690;802734
__________
"Quelle: Auswertungen aus der Beschäftigtenstatistik der
        Bundesagentur für Arbeit (BA)."
© Statistisches Bundesamt (Destatis), 2023
Stand: 06.06.2023 / 22:46:30
